question,answer
How long is the internship duration?,The internship duration is six months.
How many leaves are interns allowed per month?,Interns are entitled to 2 paid leaves per month.
Can unused leaves be carried forward?,No unused leaves cannot be carried forward.
Are interns allowed to work from home?,Yes after the first two months with manager approval.
What documents are required during onboarding?,Government ID University ID Resume and bank account details are required.
What are the working hours for interns?,Interns are expected to work eight hours per day five days a week.
Is an internship completion certificate provided?,Yes certificates are provided after successful completion.
What is the notice period for interns?,Interns must provide a fifteen day notice period before exit.
Is internship extension allowed?,Internship extension may be allowed based on performance and managerial approval.
Does completing the internship guarantee a full-time job?,No completing the internship does not guarantee full-time employment.
How many days a week do interns work?,Interns are expected to work five days a week from Monday to Friday.
Is attendance monitored for interns?,Yes intern attendance is monitored internally.
What happens if an intern takes leave without approval?,Unapproved leave may be treated as unauthorized and affect evaluation.
Is sick leave allowed for interns?,Yes sick leave may be granted on a case-by-case basis.
Can interns work remotely full-time?,No remote work depends on project requirements and approval.
What factors are considered for work from home approval?,Manager approval project requirements and intern performance are considered.
What happens if remote work affects performance?,The company may revoke work from home privileges.
Are interns required to submit documents before joining?,Yes all required documents must be submitted during onboarding.
What happens if onboarding documents are not submitted on time?,Onboarding or stipend processing may be delayed.
Are interns paid a stipend?,Yes interns may receive a stipend as mentioned in the offer letter.
How is the stipend paid?,The stipend is paid monthly through bank transfer.
Are travel or accommodation expenses reimbursed?,No travel or personal expenses are not reimbursed unless approved.
How is intern performance evaluated?,Performance is evaluated based on work quality deadlines communication and learning attitude.
Can poor performance affect internship continuation?,Yes consistent poor performance may lead to corrective action or termination.
Are interns expected to follow a code of conduct?,Yes interns must follow professional and ethical conduct.
What happens if an intern violates company policies?,Policy violations may result in disciplinary action or termination.
Are interns required to maintain confidentiality?,Yes interns must maintain confidentiality of company information.
Can interns share company data externally?,No sharing confidential company data externally is prohibited.
What should an intern do in case of a data security issue?,The issue should be reported immediately to the manager or IT team.
Are interns allowed to install software on company systems?,No interns must not install unauthorized software.
Who do interns report to?,Interns report to their assigned reporting manager or mentor.
How should interns communicate officially?,Interns should use company-approved communication channels.
Can interns raise grievances?,Yes interns can raise grievances through their manager or HR.
What is the exit process for interns?,Interns must complete handover return assets and complete exit formalities.
Can the company change its policies?,Yes the company reserves the right to modify policies at any time.
How are policy changes communicated?,Policy changes are communicated through official company channels.
